Vertex   Distance from Source
0 		 0
1 		 4
2 		 12
3 		 19
4 		 21
5 		 11
6 		 9
7 		 8
8 		 14
Vertex   Distance from Source
0 		 0
1 		 27
2 		 9
3 		 28
4 		 18
5 		 37
6 		 60
7 		 32
8 		 22
Vertex   Distance from Source
0 		 0
1 		 76
2 		 40
3 		 42
4 		 37
5 		 45
6 		 28
7 		 16
8 		 17
Vertex   Distance from Source
0 		 0
1 		 27
2 		 31
3 		 17
4 		 21
5 		 18
6 		 40
7 		 12
8 		 34
Vertex   Distance from Source
0 		 0
1 		 65
2 		 52
3 		 57
4 		 54
5 		 37
6 		 56
7 		 81
8 		 44
Vertex   Distance from Source
0 		 0
1 		 35
2 		 30
3 		 46
4 		 22
5 		 33
6 		 9
7 		 39
8 		 36
Vertex   Distance from Source
0 		 0
1 		 4
2 		 19
3 		 5
4 		 28
5 		 16
6 		 29
7 		 31
8 		 27
Vertex   Distance from Source
0 		 0
1 		 24
2 		 21
3 		 7
4 		 46
5 		 17
6 		 3
7 		 35
8 		 30
Vertex   Distance from Source
0 		 0
1 		 14
2 		 7
3 		 16
4 		 22
5 		 20
6 		 23
7 		 5
8 		 19
Vertex   Distance from Source
0 		 0
1 		 29
2 		 38
3 		 24
4 		 26
5 		 4
6 		 29
7 		 27
8 		 58

